epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.597,1.76635,5.19608,2.69734,1.97661,0.00499,0.84366,0.50973,0.29373,0,0.0008,0,0,1.45944,4.93022,2.91652,2.07242,0.000541044,0.000541044,0.000541044
2,705.207,1.57631,4.57255,2.12871,1.78469,0.36892,0.67858,0.51165,0.28424,0.5007,0.0008,7e-05,2e-05,1.54773,4.64307,2.35014,2.33018,0.00108314,0.00108314,0.00108314
3,1053.69,1.56197,4.50728,2.04017,1.77921,0.48058,0.55686,0.47184,0.25328,0.02896,0.03806,0.00253,0.00037,1.58968,4.9417,2.24593,2.59847,0.00161148,0.00161148,0.00161148
4,1402.16,1.53586,4.5274,1.95773,1.74902,0.11877,0.41446,0.10821,0.03824,8e-05,0.01634,4e-05,1e-05,2.15973,6.56557,2.81556,2.63086,0.00160511,0.00160511,0.00160511
5,1748.48,1.4758,4.43441,1.85099,1.70836,0.47497,0.65018,0.43435,0.20656,0.00011,0.02002,6e-05,2e-05,1.79909,4.69045,2.09618,2.51599,0.00158448,0.00158448,0.00158448
6,2093.48,1.48253,4.42259,1.84222,1.70007,0.78577,0.50453,0.54746,0.2523,0.00129,0.0008,0.00012,4e-05,1.88087,4.3071,1.99161,2.25262,0.00156385,0.00156385,0.00156385
7,2433.48,1.45828,4.42841,1.76735,1.70983,0.3967,0.44168,0.36936,0.15632,0.0003,0.04966,0.00017,6e-05,1.83198,4.23853,2.43304,2.33536,0.00154323,0.00154323,0.00154323
8,2776.65,1.43309,4.39882,1.73483,1.66047,0.73484,0.5763,0.63689,0.35827,0.00386,0.00761,0.00047,0.00012,1.54803,4.21038,1.88885,2.06726,0.0015226,0.0015226,0.0015226
9,3111.38,1.42704,4.37441,1.70378,1.65414,0.43176,0.49069,0.45206,0.2639,0.00013,0.02494,8e-05,3e-05,1.51226,4.29582,2.08824,2.11555,0.00150197,0.00150197,0.00150197
10,3447.97,1.45031,4.36542,1.69207,1.67182,0.86255,0.3437,0.51231,0.26217,0.00083,0.00239,0.00026,9e-05,1.70227,4.3281,2.07165,2.09239,0.00148134,0.00148134,0.00148134
11,3784.31,1.42677,4.33538,1.70067,1.65353,0.76883,0.52614,0.61179,0.35922,0.00397,0.00718,0.0005,0.00014,1.55024,4.09075,1.85796,1.98458,0.00146071,0.00146071,0.00146071
12,4119.61,1.39256,4.37965,1.66337,1.63888,0.75711,0.43041,0.50027,0.25059,0.00363,0.00558,0.00055,0.00013,1.77666,4.25909,1.99771,2.24171,0.00144008,0.00144008,0.00144008
13,4453.16,1.41597,4.34993,1.67944,1.64623,0.70018,0.54233,0.59029,0.35669,0.00045,0.0458,0.00025,8e-05,1.53513,4.1815,1.74813,2.07007,0.00141945,0.00141945,0.00141945
14,4775.8,1.3867,4.38298,1.60864,1.65171,0.85452,0.5949,0.68019,0.42624,0.00485,0.00478,0.00055,0.00018,1.35209,4.05308,1.55488,1.90509,0.00139882,0.00139882,0.00139882
